epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.966,1.37616,4.9875,1.75857,0.06267,0.36858,0.08931,0.03372,1.70724,7.22234,2.22532,0.07921,0.00021,0.00021
2,14.272,1.10996,2.26449,1.56813,0.23137,0.45991,0.25926,0.13155,1.62646,4.53883,2.4723,0.0574279,0.000427871,0.000427871
3,17.472,1.10552,1.99171,1.53651,0.16564,0.41289,0.22707,0.10719,1.86471,4.17363,3.0293,0.0356436,0.000643565,0.000643565
4,20.4705,1.16854,1.7984,1.57688,0.54587,0.36709,0.43457,0.21431,1.68747,2.24048,2.51771,0.0138571,0.00085708,0.00085708
5,23.7072,1.14389,1.61462,1.52578,0.50553,0.54478,0.49308,0.28185,1.55338,4.61975,2.69703,0.0009802,0.0009802,0.0009802
6,26.9748,1.13231,1.48011,1.49036,0.59288,0.69236,0.707,0.39933,1.52696,1.81544,2.0386,0.00097525,0.00097525,0.00097525
7,30.0056,1.08375,1.42243,1.49348,0.59111,0.61701,0.70287,0.40849,1.55108,1.72208,2.15395,0.0009703,0.0009703,0.0009703
8,33.1333,1.07307,1.39031,1.48621,0.53865,0.67548,0.68864,0.36914,1.3742,1.58061,2.0146,0.00096535,0.00096535,0.00096535
9,36.303,1.03896,1.27522,1.42071,0.56928,0.48372,0.51964,0.30717,1.43084,2.79348,1.98288,0.0009604,0.0009604,0.0009604
10,39.3211,1.08632,1.33682,1.48066,0.75376,0.72099,0.78484,0.53795,1.0308,1.62684,1.58029,0.00095545,0.00095545,0.00095545
11,42.5938,1.04861,1.22073,1.45982,0.69392,0.60634,0.68582,0.45078,1.15168,1.66174,1.61031,0.0009505,0.0009505,0.0009505
12,45.7868,1.03137,1.18311,1.4435,0.68485,0.76892,0.81524,0.52748,1.22811,1.32859,1.79139,0.00094555,0.00094555,0.00094555
13,48.8161,1.05664,1.17494,1.45282,0.83816,0.50195,0.68952,0.49513,1.05224,1.90513,1.55787,0.0009406,0.0009406,0.0009406
14,52.0436,1.08108,1.26239,1.46883,0.63588,0.74788,0.7608,0.42183,1.45792,1.80526,2.06552,0.00093565,0.00093565,0.00093565
15,55.1557,1.07083,1.21973,1.48742,0.79892,0.6509,0.78495,0.40947,1.69132,1.42743,2.38861,0.0009307,0.0009307,0.0009307
16,58.1895,1.00653,1.10904,1.42286,0.85838,0.85937,0.90549,0.65836,1.01016,0.88443,1.51297,0.00092575,0.00092575,0.00092575
17,61.5195,1.0336,1.09103,1.40965,0.77613,0.7184,0.83885,0.58429,1.13158,1.1328,1.59119,0.0009208,0.0009208,0.0009208
