epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.90778,0.80882,1.85427,1.27037,0.79872,0.74149,0.85505,0.64449,0.8331,2.31201,1.23342,0.000545182,0.000545182,0.000545182
2,11.4363,0.92948,1.14123,1.31324,0.74274,0.60329,0.67319,0.44317,1.3402,1.59076,2.23343,0.00108995,0.00108995,0.00108995
3,16.1397,0.9829,1.04754,1.35985,0.73601,0.76362,0.74792,0.496,1.23387,1.39843,1.80225,0.00162372,0.00162372,0.00162372
4,20.5936,1.0241,1.05098,1.36798,0.13799,0.65351,0.21173,0.10083,1.58941,10.9082,1.87255,0.00161749,0.00161749,0.00161749
5,25.7446,1.0309,0.98844,1.37145,0.45994,0.57293,0.45281,0.36551,1.54307,2.08286,1.87698,0.00160099,0.00160099,0.00160099
6,30.0231,0.99019,0.92503,1.32334,0.76387,0.66695,0.77827,0.5123,1.12144,1.46557,1.61467,0.00158448,0.00158448,0.00158448
7,34.3584,0.96512,0.91783,1.31293,0.86549,0.82712,0.89821,0.65768,0.95077,0.99071,1.37404,0.00156798,0.00156798,0.00156798
8,38.4538,0.92192,0.82702,1.299,0.81609,0.8921,0.88524,0.68377,0.81546,0.94275,1.27283,0.00155148,0.00155148,0.00155148
9,42.658,0.93739,0.84493,1.30761,0.86954,0.81502,0.87245,0.62431,0.91779,1.09273,1.36617,0.00153497,0.00153497,0.00153497
10,47.6106,0.90299,0.80204,1.28629,0.85291,0.89861,0.93558,0.71802,0.84005,0.78825,1.25798,0.00151847,0.00151847,0.00151847
11,51.8668,0.85214,0.74653,1.22181,0.92186,0.89525,0.93964,0.75138,0.75025,0.81085,1.20253,0.00150197,0.00150197,0.00150197
12,56.2583,0.84086,0.74863,1.25349,0.7961,0.9189,0.92727,0.69728,0.82189,0.78409,1.24735,0.00148546,0.00148546,0.00148546
13,60.4174,0.85432,0.75778,1.23827,0.94055,0.94118,0.97641,0.75465,0.7783,0.63716,1.20794,0.00146896,0.00146896,0.00146896
14,64.5989,0.8058,0.69362,1.19473,0.95959,0.93137,0.95729,0.74983,0.78656,0.66106,1.24948,0.00145246,0.00145246,0.00145246
15,69.5089,0.79346,0.7171,1.21773,0.91075,0.90224,0.97072,0.77932,0.76631,0.71478,1.19151,0.00143595,0.00143595,0.00143595
16,73.7148,0.79159,0.67594,1.19124,0.86588,0.89861,0.94458,0.74189,0.77742,0.72499,1.2502,0.00141945,0.00141945,0.00141945
17,78.2101,0.77622,0.65637,1.17264,0.88336,0.89216,0.96998,0.78395,0.7113,0.74308,1.15183,0.00140295,0.00140295,0.00140295
18,82.7924,0.78831,0.65458,1.18319,0.93787,0.91838,0.97918,0.80744,0.67948,0.5699,1.13611,0.00138644,0.00138644,0.00138644
19,87.325,0.77128,0.65209,1.17205,0.97669,0.9281,0.98325,0.83319,0.67665,0.62502,1.12027,0.00136994,0.00136994,0.00136994
20,92.4795,0.75383,0.60562,1.17021,0.94247,0.94118,0.96603,0.77583,0.67289,0.59903,1.14041,0.00135344,0.00135344,0.00135344
21,96.9731,0.71878,0.62438,1.1633,0.96367,0.91694,0.97079,0.78186,0.71659,0.7884,1.11965,0.00133693,0.00133693,0.00133693
22,101.532,0.76815,0.63854,1.19262,0.86936,0.87074,0.94476,0.73592,0.80914,0.80879,1.22809,0.00132043,0.00132043,0.00132043
23,105.916,0.72905,0.60863,1.16353,0.98873,0.93782,0.98357,0.8266,0.65446,0.56056,1.07635,0.00130393,0.00130393,0.00130393
24,110.281,0.68147,0.55218,1.11819,0.95733,0.91928,0.97101,0.82271,0.64246,0.56221,1.09876,0.00128742,0.00128742,0.00128742
25,115.508,0.7149,0.57116,1.1531,0.97782,0.97799,0.99272,0.81935,0.59664,0.46538,1.06413,0.00127092,0.00127092,0.00127092
26,119.657,0.64747,0.51653,1.10564,0.96247,0.95098,0.98779,0.8383,0.61408,0.53323,1.07014,0.00125442,0.00125442,0.00125442
27,124.171,0.67522,0.52953,1.12151,0.92282,0.92157,0.97594,0.83178,0.5918,0.55544,1.05338,0.00123791,0.00123791,0.00123791
28,128.513,0.68515,0.55035,1.12865,0.87298,0.89216,0.96845,0.81817,0.65704,0.58879,1.12864,0.00122141,0.00122141,0.00122141
29,132.839,0.64694,0.52567,1.105,0.95508,0.97062,0.98939,0.86315,0.54299,0.43184,1.01458,0.00120491,0.00120491,0.00120491
30,137.719,0.64697,0.55391,1.10664,0.9875,0.90841,0.97023,0.82411,0.65812,0.52346,1.12549,0.0011884,0.0011884,0.0011884
31,141.762,0.62402,0.49454,1.10074,0.94986,0.90396,0.97155,0.80199,0.6604,0.54379,1.1184,0.0011719,0.0011719,0.0011719
32,146.027,0.61545,0.50669,1.07703,0.97519,0.96093,0.9859,0.8237,0.62698,0.50895,1.08119,0.0011554,0.0011554,0.0011554
33,150.19,0.6476,0.52178,1.09973,0.93772,0.96078,0.9806,0.82357,0.60902,0.47969,1.06758,0.00113889,0.00113889,0.00113889
34,154.516,0.62741,0.50154,1.08348,0.99916,0.94066,0.97242,0.83296,0.59222,0.43324,1.08388,0.00112239,0.00112239,0.00112239
35,159.516,0.63322,0.50282,1.10182,0.95596,0.95439,0.98501,0.84274,0.61605,0.43473,1.06073,0.00110589,0.00110589,0.00110589
36,163.756,0.623,0.46837,1.08046,0.97605,0.96229,0.99425,0.89144,0.51575,0.42247,0.98327,0.00108938,0.00108938,0.00108938
37,168.569,0.60302,0.47256,1.07367,0.86699,0.9456,0.96737,0.85636,0.55357,0.53726,1.01848,0.00107288,0.00107288,0.00107288
38,172.881,0.58216,0.44911,1.06499,0.92973,0.92004,0.96542,0.85023,0.5843,0.49385,1.03604,0.00105638,0.00105638,0.00105638
39,177.344,0.60279,0.48791,1.07411,0.96526,0.93339,0.98483,0.84501,0.59417,0.43531,1.03672,0.00103987,0.00103987,0.00103987
40,182.263,0.58952,0.45518,1.06254,0.9785,0.94118,0.98898,0.87158,0.56054,0.41106,1.01349,0.00102337,0.00102337,0.00102337
41,186.471,0.58085,0.45032,1.06203,0.98065,0.97059,0.99233,0.88113,0.53027,0.39934,0.96709,0.00100687,0.00100687,0.00100687
42,191.18,0.57371,0.44789,1.0514,0.99426,0.94844,0.98074,0.84369,0.58032,0.41732,1.03168,0.000990365,0.000990365,0.000990365
43,195.565,0.56464,0.43392,1.0457,0.98748,0.94118,0.9797,0.85629,0.54496,0.44526,1.01569,0.000973861,0.000973861,0.000973861
44,200.097,0.57298,0.44666,1.06085,0.97499,0.97766,0.98422,0.85484,0.54006,0.39406,1.03491,0.000957358,0.000957358,0.000957358
45,205.422,0.55779,0.45683,1.05319,0.98437,0.95098,0.98595,0.87402,0.51225,0.36535,1.00933,0.000940855,0.000940855,0.000940855
46,209.53,0.57437,0.45814,1.06277,0.98852,0.96078,0.9707,0.84394,0.57357,0.39547,1.03273,0.000924352,0.000924352,0.000924352
47,213.749,0.5727,0.42205,1.05148,0.98259,0.95262,0.98295,0.83902,0.60282,0.42025,1.06009,0.000907848,0.000907848,0.000907848
48,217.871,0.56447,0.4305,1.05621,0.97623,0.96078,0.98873,0.86815,0.53463,0.37984,1.00479,0.000891345,0.000891345,0.000891345
49,222.006,0.55338,0.42852,1.03952,0.95662,0.98074,0.99116,0.86853,0.5284,0.35538,1.00384,0.000874842,0.000874842,0.000874842
50,226.923,0.56563,0.42563,1.0492,0.98518,0.97579,0.98968,0.8902,0.51872,0.34422,0.94699,0.000858338,0.000858338,0.000858338
51,231.029,0.55209,0.41329,1.04771,0.98097,0.94763,0.98844,0.88545,0.51249,0.34895,0.94019,0.000841835,0.000841835,0.000841835
52,235.497,0.54956,0.41848,1.04431,0.98739,0.97785,0.99339,0.9074,0.46426,0.33116,0.92772,0.000825332,0.000825332,0.000825332
53,239.66,0.53449,0.41631,1.03536,0.96363,0.94668,0.98741,0.89018,0.48714,0.35294,0.93917,0.000808828,0.000808828,0.000808828
54,243.977,0.54484,0.41976,1.06068,0.99195,0.97059,0.99078,0.86675,0.54652,0.35858,0.99779,0.000792325,0.000792325,0.000792325
55,248.465,0.55586,0.41365,1.05494,0.99259,0.9902,0.99349,0.89721,0.45794,0.33021,0.91058,0.000775822,0.000775822,0.000775822
56,252.525,0.50517,0.39424,1.02519,0.99468,0.98921,0.99464,0.89727,0.47712,0.30557,0.9372,0.000759318,0.000759318,0.000759318
57,257.027,0.52309,0.3783,1.0186,0.99634,0.9902,0.99472,0.90297,0.46571,0.30905,0.92931,0.000742815,0.000742815,0.000742815
58,261.383,0.52489,0.38453,1.03594,0.99308,0.9902,0.99425,0.89328,0.49338,0.31946,0.95408,0.000726312,0.000726312,0.000726312
59,265.699,0.46929,0.35548,0.99907,0.9766,0.97059,0.99285,0.90277,0.4464,0.33121,0.91407,0.000709809,0.000709809,0.000709809
60,270.777,0.49346,0.3634,1.0094,0.98941,0.96078,0.99072,0.86627,0.52242,0.38314,0.97745,0.000693305,0.000693305,0.000693305
61,275.035,0.52795,0.38662,1.03599,0.98583,0.96882,0.991,0.90712,0.45546,0.30319,0.90459,0.000676802,0.000676802,0.000676802
62,280.12,0.49429,0.38802,1.01107,0.9803,0.97679,0.9895,0.90094,0.44513,0.30761,0.89736,0.000660299,0.000660299,0.000660299
63,284.191,0.50437,0.37317,1.0421,0.9882,0.98039,0.99182,0.91214,0.44769,0.31178,0.90233,0.000643795,0.000643795,0.000643795
64,288.742,0.48155,0.35356,1.01193,0.98932,0.96748,0.99027,0.90634,0.45524,0.32394,0.91433,0.000627292,0.000627292,0.000627292
65,293.327,0.51123,0.37498,1.0223,0.99283,0.98026,0.99117,0.91275,0.45572,0.31132,0.91153,0.000610789,0.000610789,0.000610789
66,297.539,0.48977,0.36604,1.01585,0.98775,0.99679,0.995,0.90239,0.45344,0.29329,0.92744,0.000594286,0.000594286,0.000594286
67,301.901,0.4918,0.36118,1.01402,0.98667,0.99087,0.9949,0.906,0.44365,0.28677,0.92789,0.000577782,0.000577782,0.000577782
68,306.106,0.487,0.35785,0.9928,0.97832,0.98139,0.99261,0.91441,0.41513,0.29491,0.89648,0.000561279,0.000561279,0.000561279
69,310.586,0.4471,0.33293,0.9916,0.97498,0.9902,0.99042,0.9292,0.40026,0.27298,0.8693,0.000544776,0.000544776,0.000544776
70,315.096,0.45584,0.3447,0.97924,0.99181,0.98039,0.99444,0.92125,0.40871,0.29668,0.88075,0.000528272,0.000528272,0.000528272
71,319.178,0.45184,0.33374,0.98165,0.98542,0.98039,0.99409,0.91981,0.41474,0.30633,0.88929,0.000511769,0.000511769,0.000511769
72,323.563,0.46631,0.34547,0.99935,0.98503,0.98039,0.99222,0.91804,0.39271,0.30183,0.8834,0.000495266,0.000495266,0.000495266
73,327.635,0.46411,0.34161,0.98959,0.99104,0.97059,0.99265,0.91136,0.42032,0.30436,0.89133,0.000478762,0.000478762,0.000478762
74,332.078,0.45743,0.33768,1.00194,0.98497,0.97803,0.99423,0.92913,0.39882,0.27086,0.87479,0.000462259,0.000462259,0.000462259
75,337.333,0.45495,0.33185,0.98792,0.99733,0.95795,0.99291,0.91244,0.42593,0.2864,0.89858,0.000445756,0.000445756,0.000445756
76,341.55,0.45059,0.32924,0.99412,0.98386,0.95098,0.98099,0.89279,0.46239,0.31291,0.93896,0.000429253,0.000429253,0.000429253
77,346.377,0.4397,0.3267,0.98908,0.9909,0.97826,0.99401,0.91189,0.40689,0.27869,0.89723,0.000412749,0.000412749,0.000412749
78,350.593,0.44148,0.32249,0.98182,0.9915,1,0.995,0.91618,0.4029,0.28342,0.88609,0.000396246,0.000396246,0.000396246
79,355.019,0.44423,0.334,1.00074,0.97986,0.98058,0.99296,0.92106,0.39817,0.2821,0.88214,0.000379743,0.000379743,0.000379743
