epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61244,0.78082,1.60549,1.23335,0.74656,0.80211,0.75758,0.55603,1.01058,1.67362,1.52623,0.000548158,0.000548158,0.000548158
2,15.1315,0.88228,0.97682,1.28249,0.79218,0.7967,0.84145,0.59921,0.93419,2.63339,1.40426,0.0010929,0.0010929,0.0010929
3,21.047,0.94657,0.99547,1.32022,0.30428,0.70632,0.33135,0.15501,1.42344,10.0985,1.90791,0.00162663,0.00162663,0.00162663
4,27.815,0.94863,0.91743,1.31658,0.75157,0.78344,0.78083,0.56063,1.09071,1.15917,1.5493,0.00161749,0.00161749,0.00161749
5,33.5456,0.92098,0.87564,1.28937,0.7874,0.80306,0.87306,0.60282,1.07503,1.14007,1.47696,0.00160099,0.00160099,0.00160099
6,39.3663,0.91825,0.86128,1.29238,0.90411,0.8294,0.8846,0.65766,0.95926,1.15751,1.46189,0.00158448,0.00158448,0.00158448
7,45.4018,0.85165,0.79625,1.26109,0.90144,0.88207,0.92715,0.6848,0.91954,0.87402,1.43067,0.00156798,0.00156798,0.00156798
8,51.3629,0.80706,0.73454,1.2079,0.93163,0.91569,0.96227,0.75677,0.78699,0.72401,1.24986,0.00155148,0.00155148,0.00155148
9,57.5839,0.80152,0.69352,1.2189,0.94508,0.92637,0.95837,0.75825,0.78473,0.62538,1.30583,0.00153497,0.00153497,0.00153497
10,63.435,0.78986,0.70357,1.21374,0.9351,0.91171,0.94693,0.75181,0.76957,0.75637,1.27339,0.00151847,0.00151847,0.00151847
11,70.3528,0.76874,0.66897,1.19582,0.91561,0.86713,0.93767,0.73321,0.8027,0.67528,1.31867,0.00150197,0.00150197,0.00150197
12,76.1749,0.80537,0.69388,1.21122,0.93935,0.92637,0.96985,0.7974,0.72424,0.61525,1.19117,0.00148546,0.00148546,0.00148546
13,82.2182,0.78232,0.65548,1.21405,0.89185,0.94736,0.96433,0.81218,0.6524,0.63963,1.1264,0.00146896,0.00146896,0.00146896
14,88.6317,0.744,0.63979,1.18186,0.94302,0.94103,0.95418,0.81277,0.66205,0.60825,1.14736,0.00145246,0.00145246,0.00145246
15,95.1079,0.66907,0.58427,1.12874,0.93834,0.94937,0.9794,0.81021,0.68262,0.52738,1.16665,0.00143595,0.00143595,0.00143595
16,101.226,0.71073,0.5834,1.1497,0.96756,0.96537,0.98362,0.8275,0.64117,0.49001,1.09181,0.00141945,0.00141945,0.00141945
17,107.208,0.68538,0.56023,1.14713,0.96746,0.94539,0.97602,0.84561,0.59417,0.4929,1.06511,0.00140295,0.00140295,0.00140295
18,113.596,0.69164,0.54536,1.15457,0.96762,0.94304,0.9687,0.82313,0.61361,0.495,1.10728,0.00138644,0.00138644,0.00138644
19,119.388,0.67416,0.52995,1.14507,0.91835,0.94996,0.95336,0.79396,0.65452,0.52284,1.18151,0.00136994,0.00136994,0.00136994
20,125.585,0.67031,0.55204,1.13745,0.95165,0.97445,0.98748,0.84693,0.60738,0.47033,1.10627,0.00135344,0.00135344,0.00135344
21,131.633,0.64537,0.53238,1.12213,0.96875,0.98734,0.99047,0.85868,0.57307,0.43779,1.06085,0.00133693,0.00133693,0.00133693
22,138.031,0.66559,0.52808,1.1279,0.9799,0.95013,0.98497,0.83206,0.62002,0.49411,1.10754,0.00132043,0.00132043,0.00132043
23,143.811,0.66818,0.52863,1.11793,0.97535,0.94706,0.98686,0.85041,0.56874,0.44277,1.04308,0.00130393,0.00130393,0.00130393
24,149.605,0.64014,0.52723,1.11581,0.96221,0.96017,0.98697,0.8532,0.57644,0.45666,1.0334,0.00128742,0.00128742,0.00128742
25,155.922,0.64092,0.5049,1.10207,0.98791,0.9557,0.98348,0.85782,0.53496,0.4022,1.02765,0.00127092,0.00127092,0.00127092
26,162.077,0.63188,0.50896,1.11473,0.94477,0.97468,0.98646,0.88223,0.50261,0.43802,0.9992,0.00125442,0.00125442,0.00125442
27,168.498,0.61848,0.49958,1.09012,0.98506,0.97071,0.98719,0.88767,0.49333,0.40526,0.98543,0.00123791,0.00123791,0.00123791
28,174.327,0.60811,0.48543,1.0873,0.98549,0.97093,0.99218,0.87572,0.53722,0.39239,1.00725,0.00122141,0.00122141,0.00122141
29,180.518,0.61152,0.47437,1.07162,0.97093,0.98064,0.9898,0.87744,0.51861,0.39647,0.99825,0.00120491,0.00120491,0.00120491
30,186.411,0.61011,0.48208,1.09965,0.97816,0.95369,0.98571,0.85251,0.55186,0.43024,1.07742,0.0011884,0.0011884,0.0011884
31,192.519,0.56791,0.45746,1.06094,0.96913,0.96231,0.98777,0.87858,0.50028,0.37366,1.0144,0.0011719,0.0011719,0.0011719
32,198.684,0.58269,0.45821,1.06441,0.96252,0.99344,0.98932,0.88578,0.49451,0.34369,0.99419,0.0011554,0.0011554,0.0011554
33,205.099,0.6064,0.46346,1.10389,0.98301,0.97268,0.98968,0.86716,0.53995,0.38779,1.02512,0.00113889,0.00113889,0.00113889
34,211.317,0.58437,0.45273,1.08661,0.96379,0.98734,0.98687,0.88169,0.51886,0.38319,1.01107,0.00112239,0.00112239,0.00112239
35,217.77,0.57956,0.434,1.07368,0.98889,0.96835,0.98371,0.86266,0.52075,0.37397,1.02661,0.00110589,0.00110589,0.00110589
