epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.00094,0.55477,3.98947,0.95844,0.21206,0.44364,0.27594,0.23832,0.5714,2.70703,0.8869,0.08614,0.00014,0.00014
2,6.42712,0.51491,2.08093,0.90971,0.19482,0.76545,0.28838,0.25758,0.54376,2.20471,0.88092,0.0712881,0.000288086,0.000288086
3,8.87707,0.51834,1.68441,0.90459,0.44123,0.27674,0.22438,0.18491,0.65846,3.23057,0.99652,0.0564342,0.000434192,0.000434192
4,11.1231,0.52199,1.60095,0.91043,0.40275,0.61189,0.3966,0.3539,0.41043,2.74339,0.85496,0.0415783,0.000578318,0.000578318
5,13.3321,0.51542,1.52381,0.91195,0.38671,0.74014,0.46883,0.41205,0.48136,2.42069,0.83351,0.0267205,0.000720464,0.000720464
6,15.6897,0.5248,1.41231,0.90388,0.35213,0.87241,0.53908,0.48125,0.46728,3.01285,0.83727,0.0118606,0.00086063,0.00086063
7,18.1127,0.50828,1.34505,0.91603,0.37532,0.81488,0.49022,0.44883,0.45397,1.94723,0.83584,0.0009604,0.0009604,0.0009604
8,20.4129,0.48697,1.25662,0.89596,0.50395,0.80599,0.66093,0.59304,0.46883,1.33979,0.83157,0.0009538,0.0009538,0.0009538
9,22.5552,0.48739,1.16481,0.89152,0.44186,0.65333,0.59863,0.54277,0.42875,1.39582,0.83759,0.0009472,0.0009472,0.0009472
10,24.7309,0.48105,1.25743,0.90101,0.59984,0.83762,0.72038,0.63918,0.43248,1.15852,0.84805,0.0009406,0.0009406,0.0009406
11,27.1083,0.47474,1.16559,0.91439,0.4559,0.87641,0.66714,0.62149,0.39842,1.11972,0.84496,0.000934,0.000934,0.000934
12,29.2619,0.45978,1.07311,0.87962,0.56654,0.80207,0.69467,0.64567,0.38036,1.07985,0.84515,0.0009274,0.0009274,0.0009274
13,31.521,0.46273,1.0542,0.89739,0.55154,0.70376,0.69208,0.63926,0.40391,1.12778,0.8539,0.0009208,0.0009208,0.0009208
14,33.6665,0.45791,0.98133,0.89019,0.60779,0.94048,0.76601,0.69071,0.4461,0.92243,0.89275,0.0009142,0.0009142,0.0009142
15,35.9679,0.4307,0.89715,0.88444,0.59401,0.85175,0.70906,0.66368,0.37187,1.13171,0.88792,0.0009076,0.0009076,0.0009076
16,38.3098,0.46491,0.88955,0.90667,0.52154,0.74695,0.65843,0.59977,0.41118,1.30575,0.87804,0.000901,0.000901,0.000901
17,40.4115,0.46736,0.91179,0.91766,0.51781,0.8493,0.6728,0.61025,0.42704,1.11609,0.89585,0.0008944,0.0008944,0.0008944
18,42.5313,0.45734,0.8943,0.90618,0.56553,0.74196,0.65976,0.60285,0.40121,1.29344,0.86372,0.0008878,0.0008878,0.0008878
19,44.7168,0.45671,0.85374,0.89665,0.61856,0.70695,0.67717,0.62396,0.36861,1.2833,0.86914,0.0008812,0.0008812,0.0008812
20,46.9225,0.45836,0.88528,0.89387,0.58398,0.738,0.66404,0.62301,0.36407,1.24613,0.86496,0.0008746,0.0008746,0.0008746
